track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,released_date,cluster
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,0,130.0,G,Minor,67.0,96.0,88.0,12.0,19.0,8.0,4.0,2023-06-15,1
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,3394,19,0,123.0,E,Minor,45.0,13.0,54.0,70.0,0.0,9.0,4.0,2012-10-15,1
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,3421,20,0,171.0,C#,Major,50.0,38.0,80.0,0.0,0.0,9.0,7.0,2019-11-29,0
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,615,137.0,G,Minor,64.0,88.0,72.0,51.0,0.0,17.0,5.0,2023-02-24,1
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,139,111,161,15,210,125.0,G,Minor,84.0,85.0,68.0,58.0,0.0,22.0,4.0,2022-05-26,1
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,39,6,216,128.0,Unknown,Minor,86.0,42.0,72.0,59.0,0.0,9.0,19.0,2023-07-14,1
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,142,4,215,130.0,Unknown,Minor,61.0,53.0,58.0,55.0,0.0,27.0,4.0,2020-07-24,1
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,73,4,167,130.0,B,Major,86.0,59.0,96.0,50.0,1.0,9.0,5.0,2023-05-04,0
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,102,14,37,133.0,F,Major,70.0,86.0,81.0,25.0,0.0,25.0,5.0,2023-02-03,0
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,38,0,4,0,0,101.0,D,Major,88.0,72.0,59.0,62.0,0.0,9.0,3.0,2022-06-24,0
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,82,121,182,12,171,95.0,F,Minor,77.0,53.0,64.0,74.0,0.0,17.0,14.0,2023-03-24,1
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,63,79,89,11,16,98.0,C#,Minor,90.0,40.0,59.0,0.0,0.0,10.0,29.0,2022-10-06,1
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,4053,5,0,173.0,B,Major,43.0,28.0,66.0,0.0,0.0,23.0,3.0,1999-01-01,0
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,32,0,272,90.0,G#,Major,64.0,10.0,62.0,7.0,0.0,48.0,7.0,2022-10-21,0
People,Libianca,1,2022,12,2,3506,56,373199958,105,64,169,8,529,198.0,A#,Minor,59.0,71.0,42.0,55.0,0.0,10.0,7.0,2022-12-02,1
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,26,140.0,C#,Major,56.0,48.0,73.0,0.0,0.0,35.0,4.0,2023-07-14,0
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,5,82.0,G#,Major,51.0,22.0,53.0,1.0,0.0,15.0,3.0,2023-07-07,0
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,169,130.0,C#,Minor,77.0,84.0,89.0,17.0,0.0,43.0,5.0,2023-06-23,1
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,0,81.0,B,Major,76.0,53.0,53.0,44.0,0.0,9.0,9.0,2020-06-28,0
golden hour,JVKE,1,2022,7,15,4511,36,751134527,70,58,109,18,230,94.0,C#,Minor,51.0,14.0,59.0,65.0,18.0,25.0,3.0,2022-07-15,1
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,1056,1,0,124.0,A#,Major,61.0,41.0,81.0,5.0,2.0,10.0,3.0,2012-05-14,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,94,65,164,14,176,128.0,D,Major,62.0,55.0,78.0,1.0,3.0,23.0,4.0,2022-07-06,0
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,4095,9,0,138.0,F,Minor,49.0,42.0,62.0,9.0,0.0,11.0,3.0,2008-01-01,1
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,68,1,84,132.0,E,Major,58.0,27.0,48.0,50.0,0.0,12.0,3.0,2022-07-17,0
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,331,26,154,131.0,D,Major,71.0,24.0,47.0,1.0,0.0,27.0,9.0,2022-09-22,0
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47,74,80,14,194,168.0,F#,Minor,78.0,58.0,73.0,5.0,0.0,10.0,7.0,2022-12-20,1
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,18,4,93,98.0,C#,Major,68.0,40.0,79.0,33.0,0.0,30.0,6.0,2023-06-22,0
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,1003,1,0,102.0,C#,Major,48.0,50.0,73.0,43.0,0.0,15.0,4.0,1975-01-01,0
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,60,96,71,0,115,101.0,A#,Major,34.0,32.0,57.0,78.0,0.0,20.0,3.0,2022-04-22,0
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,25,2,72,130.0,F,Major,63.0,36.0,34.0,76.0,0.0,35.0,9.0,2023-06-23,0
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,5,0,8,142.0,D,Major,50.0,20.0,64.0,1.0,0.0,12.0,3.0,2023-07-07,0
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99,798,31,0,170.0,C#,Major,59.0,48.0,76.0,4.0,0.0,10.0,5.0,2021-07-09,0
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,110,11,323,124.0,G#,Minor,78.0,70.0,68.0,3.0,1.0,11.0,4.0,2023-03-03,1
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125,1800,0,0,110.0,C#,Major,50.0,45.0,41.0,75.0,0.0,11.0,3.0,2018-11-08,0
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104,120,141,26,49,92.0,C#,Minor,91.0,43.0,71.0,9.0,0.0,9.0,8.0,2022-05-06,1
Makeba,Jain,1,2015,6,22,6060,53,165484133,150,148,2703,22,1451,116.0,D,Major,82.0,40.0,66.0,39.0,51.0,25.0,7.0,2015-06-22,0
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,8,0,1170,129.0,A,Major,63.0,84.0,82.0,70.0,8.0,9.0,7.0,2012-06-20,0
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,35,0,429,98.0,G#,Major,71.0,67.0,60.0,19.0,0.0,12.0,3.0,2023-03-24,0
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,24,0,162,172.0,C#,Minor,74.0,76.0,76.0,6.0,0.0,10.0,9.0,2023-03-17,1
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,29,5,82,150.0,D,Major,68.0,14.0,76.0,4.0,0.0,10.0,4.0,2023-03-17,0
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19,45,0,0,10,136.0,A,Minor,62.0,19.0,53.0,11.0,0.0,6.0,4.0,2017-11-08,1
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107,8,0,0,88.0,C#,Minor,53.0,34.0,47.0,9.0,0.0,83.0,4.0,2020-06-05,1
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,69,2,478,143.0,D#,Major,83.0,69.0,44.0,15.0,0.0,10.0,33.0,2023-05-12,0
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,63,1,0,100.0,F#,Minor,49.0,17.0,35.0,71.0,9.0,11.0,3.0,2023-03-17,1
Snooze,SZA,1,2022,12,9,2839,25,399686758,58,156,42,1,236,143.0,F,Major,56.0,39.0,55.0,14.0,0.0,11.0,13.0,2022-12-09,0
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89,143,1632,3,200,112.0,C#,Minor,56.0,24.0,66.0,7.0,0.0,12.0,3.0,2011-01-01,1
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,25,4,78,93.0,G,Major,62.0,57.0,59.0,3.0,0.0,38.0,3.0,2023-06-09,0
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,160,110,163,0,5,206.0,G,Major,43.0,50.0,55.0,50.0,0.0,15.0,10.0,2012-01-01,0
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,17,119,19,2,266,88.0,G,Minor,68.0,17.0,71.0,15.0,0.0,11.0,5.0,2022-12-02,1
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,56,91,59,3,486,170.0,D,Major,50.0,37.0,90.0,0.0,0.0,12.0,5.0,2023-04-14,0
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,49,98,2394,5,204,84.0,E,Minor,62.0,24.0,67.0,21.0,0.0,13.0,28.0,2004-01-01,1
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,8,166,4,4,34,134.0,E,Minor,81.0,53.0,72.0,51.0,0.0,12.0,5.0,2023-07-07,1
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,6,40,6,6,202,158.0,A#,Major,54.0,50.0,40.0,61.0,0.0,10.0,6.0,2022-04-20,0
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,384,135,1034,37,312,116.0,C#,Major,80.0,92.0,80.0,4.0,0.0,10.0,3.0,2017-11-10,0
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,41,100,59,1,32,117.0,C#,Major,61.0,45.0,69.0,2.0,0.0,9.0,3.0,2017-04-28,0
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900,98,108,327,17,153,114.0,F,Minor,77.0,65.0,72.0,2.0,0.0,7.0,5.0,2021-03-11,1
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,88,112,2163,5,519,108.0,D,Minor,61.0,47.0,68.0,0.0,0.0,13.0,3.0,2011-01-01,1
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,69,113,695,0,458,144.0,E,Minor,74.0,37.0,53.0,7.0,0.0,21.0,10.0,2012-01-01,1
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294,7,6,0,0,48,130.0,F,Major,51.0,18.0,44.0,76.0,0.0,11.0,3.0,2022-12-02,0
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561,2,106,4,2,184,116.0,B,Major,77.0,79.0,62.0,33.0,1.0,15.0,3.0,2023-06-22,0
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,21,52,6,1,0,121.0,G,Major,65.0,49.0,78.0,0.0,0.0,17.0,4.0,2023-07-07,0
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,101,32,2655,0,666,112.0,G,Major,64.0,54.0,81.0,36.0,0.0,11.0,6.0,1985-02-17,0
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,80,65,476,0,14,100.0,A#,Minor,70.0,47.0,52.0,30.0,0.0,6.0,33.0,2014-12-09,1
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,74,102,145,18,925,150.0,D#,Minor,55.0,30.0,78.0,24.0,0.0,12.0,8.0,2023-02-25,1
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,19,23,24,3,88,120.0,F,Minor,84.0,96.0,71.0,18.0,0.0,34.0,17.0,2023-02-08,1
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753,40,58,47,8,203,127.0,B,Minor,82.0,89.0,85.0,4.0,0.0,23.0,6.0,2023-05-12,1
august,Taylor Swift,1,2020,7,24,7324,22,607123776,25,81,61,1,44,90.0,F,Major,51.0,42.0,61.0,53.0,0.0,9.0,3.0,2020-07-24,0
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,19,117,8,1,74,128.0,A,Minor,75.0,79.0,63.0,33.0,0.0,15.0,4.0,2023-06-22,1
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,161,115,246,9,638,143.0,A,Major,64.0,31.0,87.0,4.0,4.0,8.0,4.0,2023-03-10,0
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938,69,12,38,8,64,139.0,G#,Major,74.0,68.0,68.0,3.0,0.0,26.0,4.0,2022-07-15,0
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,21,110,21,9,71,162.0,A#,Major,49.0,78.0,64.0,19.0,0.0,11.0,4.0,2022-12-09,0
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424,8,116,4,3,2,92.0,Unknown,Major,81.0,39.0,60.0,31.0,0.0,7.0,3.0,2021-06-11,0
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821,45,69,52,4,3,95.0,F,Major,87.0,57.0,55.0,10.0,0.0,29.0,7.0,2022-08-19,0
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826,201,44,6551,2,0,146.0,D,Major,63.0,88.0,93.0,3.0,0.0,10.0,8.0,2011-08-16,0
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122,437,115,1212,12,0,95.0,Unknown,Major,55.0,56.0,82.0,12.0,0.0,34.0,5.0,2019-11-17,0
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893,221,96,1078,2,136,115.0,E,Minor,35.0,12.0,30.0,93.0,0.0,10.0,3.0,2017-08-11,1
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,25,59,32,5,88,128.0,B,Major,78.0,59.0,65.0,10.0,0.0,26.0,5.0,2023-06-21,0
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,10,126,7,0,148,130.0,E,Minor,82.0,69.0,83.0,3.0,0.0,27.0,5.0,2023-05-15,1
OMG,NewJeans,1,2023,1,2,1783,27,430977451,26,124,15,1,22,127.0,A,Minor,80.0,74.0,77.0,36.0,0.0,11.0,4.0,2023-01-02,1
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874,24,122,282,3,368,150.0,D,Major,42.0,20.0,86.0,21.0,0.0,9.0,9.0,2011-01-01,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,119,108,254,29,22,122.0,D,Minor,78.0,50.0,63.0,27.0,0.0,9.0,5.0,2023-01-11,1
505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710,30,80,588,1,1,140.0,Unknown,Major,52.0,20.0,85.0,0.0,0.0,7.0,5.0,2007-04-20,0
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,31,37,31,0,189,140.0,Unknown,Major,63.0,22.0,54.0,46.0,0.0,12.0,8.0,2023-06-02,0
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178,24,90,30,1,176,119.0,C#,Minor,75.0,48.0,53.0,18.0,0.0,18.0,34.0,2022-12-02,1
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,3,88,1,0,52,110.0,G,Minor,76.0,96.0,72.0,32.0,0.0,9.0,4.0,2023-05-22,1
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074,7,0,2094,0,0,95.0,G#,Major,60.0,17.0,45.0,16.0,0.0,11.0,2.0,2017-01-01,0
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126,82,55,50,0,9,132.0,F#,Major,56.0,20.0,55.0,45.0,1.0,32.0,3.0,2022-07-20,0
